id,lat,long
9117000170,47.4362,-122.187
6700390210,47.4034,-122.187
7212660540,47.2704,-122.313
8562780200,47.5321,-122.073
7760400350,47.3715,-122.074
464001025,47.6948,-122.395
3432500486,47.7463,-122.315
1126059095,47.7489,-122.123
3876500290,47.3377,-122.291
1865400075,47.6983,-122.367
2558690150,47.7212,-122.172
7154200070,47.7764,-122.385
4139490210,47.5519,-122.106
9264901040,47.3127,-122.339
4273000095,47.4735,-122.344
8691410310,47.5961,-121.98
6601200020,47.2606,-122.253
8663260030,47.7188,-122.177
7016300050,47.7404,-122.186
7968460240,47.3126,-122.129
3918400017,47.7145,-122.356
4046500270,47.6907,-121.917
7849202296,47.5261,-121.827
8585400135,47.679,-122.288
6163900411,47.7598,-122.316
2558640110,47.7222,-122.168
9834200885,47.572,-122.29
3876600120,47.3375,-122.291
8691330260,47.5945,-121.982
5416500980,47.3595,-122.038
809002610,47.6368,-122.355
1778500595,47.6197,-122.287
1220000367,47.4643,-122.346
7504020670,47.6295,-122.052
3630110370,47.5541,-121.995
2490200620,47.5323,-122.383
1775801340,47.7399,-122.099
1683600240,47.3187,-122.182
1180002378,47.4977,-122.226
7955050170,47.7321,-122.198
7518507580,47.6784,-122.386
1441600020,47.5956,-122.026
5101408599,47.7048,-122.315
1370803940,47.6413,-122.401
3342700371,47.5243,-122.204
3668000070,47.2761,-122.152
8562720390,47.5369,-122.07
9835801000,47.3733,-122.289
8856890020,47.4631,-122.126
9324800025,47.7329,-122.291
9257900010,47.75,-122.292
9136103026,47.6652,-122.338
4213910030,47.7667,-122.33
2923500010,47.5678,-122.089
461002025,47.6831,-122.373
9277700075,47.5707,-122.396
7853361120,47.5158,-121.874
1788700070,47.3286,-122.346
5411600020,47.614,-122.041
1561900180,47.4181,-122.211
3300701440,47.6916,-122.38
7853230590,47.5305,-121.847
3601800580,47.381,-122.299
1438000390,47.4783,-122.123
8700100010,47.3608,-122.194
7231501610,47.4763,-122.206
3396200090,47.7224,-122.101
1245500099,47.6943,-122.209
9831200520,47.6282,-122.322
923000280,47.7259,-122.361
739800250,47.4046,-122.194
293760050,47.5566,-122.026
1088020070,47.6678,-122.182
7853340960,47.5185,-121.878
3819800580,47.7264,-122.237
3211200460,47.7303,-122.236
263000291,47.6985,-122.348
3345100251,47.521,-122.179
2655500241,47.5749,-122.214
7454001280,47.5128,-122.374
984200690,47.4341,-122.169
5332200515,47.6265,-122.295
7973202225,47.5104,-122.342
4340610080,47.6969,-122.347
269000221,47.6449,-122.389
2420069251,47.2082,-121.995
2225039130,47.6464,-122.405
3904100065,47.5341,-122.279
7625702263,47.5496,-122.388
4140090240,47.7691,-122.262
4037400295,47.6049,-122.126
5016001285,47.6235,-122.298
1972201772,47.6523,-122.346
1310700210,47.3619,-122.285
2622059138,47.3644,-122.132
8651443420,47.366,-122.093
7287100035,47.7643,-122.352
2459500310,47.4296,-122.161
4232900310,47.6351,-122.364
8945000260,47.3052,-122.362
1545806510,47.3651,-122.044
6649900301,47.7767,-122.369
5315100805,47.5833,-122.241
7708200880,47.4935,-122.145
7925100271,47.5553,-122.316
6163901061,47.7538,-122.322
3404700041,47.7297,-122.139
161000120,47.5876,-122.292
7649400170,47.5543,-122.398
1529300115,47.6994,-122.354
